ticker,style,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,stop_loss,take_profit,entry_atr,n_adds,result_eur,result_pct
CTAS,MOMENTUM,2024-05-23,171.1257,2.9218,2024-05-28,166.6391,trailing_stop,166.6391,177.8556,2.2433,0,-13.11,-2.62
QCOM,MOMENTUM,2024-05-23,193.3166,2.5864,2024-05-28,207.6236,take_profit_atr,196.35625445991337,207.6236,4.769,0,37.0,7.4
IR,MOMENTUM,2024-05-23,94.9431,5.2663,2024-05-29,91.2139,trailing_stop,91.2139,100.5369,1.8646,0,-19.64,-3.93
ELV,VALUE,2024-05-24,503.3879,0.5218,2024-05-29,478.8074,stop_loss_atr,478.8074,527.9684,8.1935,0,-12.83,-4.88
HPE,MOMENTUM,2024-05-23,17.3129,28.8803,2024-05-31,16.8482,trailing_stop,16.848212266111318,18.4802,0.3891,0,-13.42,-2.68
MRVL,MOMENTUM,2024-05-23,74.5897,6.7033,2024-05-31,71.8764,trailing_stop,71.87635944529399,81.9028,2.4377,0,-18.19,-3.64
WM,VALUE,2024-05-31,204.6717,0.3636,2024-06-03,196.7355,stop_loss_atr,196.7355,212.6079,2.6454,0,-2.89,-3.88
JPM,MOMENTUM,2024-05-31,194.3078,0.383,2024-06-06,187.85,trailing_stop,187.85,203.9945,3.2289,0,-2.47,-3.32
ORCL,VALUE,2024-05-31,114.7731,0.6483,2024-06-07,122.2296,take_profit_atr,118.61499406048478,122.2296,2.4855,0,4.83,6.5
AVGO,VALUE,2024-05-31,130.2281,0.5714,2024-06-10,141.5453,take_profit_atr,134.45952435596294,141.5453,3.7724,0,6.47,8.69
CRWD,VALUE,2024-05-31,313.7484,0.1853,2024-06-10,353.8971,take_profit_atr,358.2142109863281,353.8971,13.3829,0,7.44,12.8
FAST,VALUE,2024-05-31,31.6193,2.3534,2024-06-11,30.0962,stop_loss_atr,30.0962,33.1424,0.5077,0,-3.58,-4.82
OTIS,MOMENTUM,2024-05-31,95.6699,0.7778,2024-06-11,93.3415,trailing_stop,93.34145241469429,100.3328,1.5543,0,-1.81,-2.43
PEP,VALUE,2024-05-31,156.8161,2.0683000000000002,2024-06-11,157.4397,value_trailing_stop,157.439740884578,164.0842,2.4227,1,1.29,0.4
LRCX,VALUE,2024-05-31,91.5774,0.8126,2024-06-12,99.6873,take_profit_atr,96.79742093906661,99.6873,2.7033,0,6.59,8.86
NOW,VALUE,2024-05-31,131.4188,0.5305,2024-06-12,145.4426,take_profit_atr,136.55079389648438,145.4426,4.6746,0,7.44,10.67
TJX,MOMENTUM,2024-05-31,100.5839,0.7398,2024-06-14,105.9563,take_profit_atr,101.66078825940762,105.9563,1.7908,0,3.97,5.34
ORLY,VALUE,2024-05-23,65.0743,7.6835,2024-06-17,67.5434,value_trailing_stop,67.54340067138672,68.5282,1.1513,0,18.97,3.79
NET,VALUE,2024-05-31,67.7069,0.0508,2024-06-17,76.8605,take_profit_atr,71.83760244140625,76.8605,3.0512,0,0.47,13.52
QCOM,MOMENTUM,2024-05-31,196.312,0.379,2024-06-17,213.1294,take_profit_atr,200.15782583517594,213.1294,5.6058,0,6.37,8.57
LEN,VALUE,2024-05-31,147.4462,2.2108,2024-06-18,139.4347,stop_loss_atr,139.4347,158.2495,3.6011,1,-17.71,-5.43
CMG,MOMENTUM,2024-06-17,68.2363,5.0215,2024-06-20,65.9581,trailing_stop,65.95814831542968,72.2002,1.3213,1,-11.44,-3.34
SMCI,VALUE,2024-05-23,84.7592,2.4401,2024-06-21,87.1754,value_trailing_stop,87.17540042724609,106.0991,7.1133,0,5.9,2.85
INTU,VALUE,2024-05-31,568.2438,0.131,2024-06-21,620.4381,take_profit_atr,590.1807902396248,620.4381,17.3981,0,6.84,9.19
WMB,MOMENTUM,2024-05-31,38.6385,1.9258,2024-06-21,40.5261,take_profit_atr,39.09486766310779,40.5261,0.6292,0,3.64,4.89
MRVL,VALUE,2024-05-31,68.4153,0.8311,2024-06-24,69.2792,value_trailing_stop,69.27920406518061,77.367,2.9839,0,0.72,1.26
WMT,MOMENTUM,2024-05-31,64.568,1.1525,2024-06-24,67.5077,take_profit_atr,65.32184785275186,67.5077,0.9799,0,3.39,4.55
LOW,VALUE,2024-05-23,209.387,2.3879,2024-06-25,212.159,value_trailing_stop,212.15903484732812,223.3715,4.6615,0,6.62,1.32
ADI,MOMENTUM,2024-05-31,227.252,0.3274,2024-06-25,220.4992,trailing_stop,220.49917677144083,243.4805,5.4095,0,-2.21,-2.97
DDOG,VALUE,2024-05-31,110.2075,0.5605,2024-06-26,123.4792,take_profit_atr,115.31720091552734,123.4792,4.4239,0,7.44,12.04
V,VALUE,2024-06-24,270.2152,1.2643,2024-06-28,261.1852,stop_loss_atr,261.1852,281.2543,3.6797,1,-11.42,-3.34
CL,MOMENTUM,2024-06-21,93.8933,3.6415,2024-07-01,91.7776,trailing_stop,91.77759220324586,97.28059999999999,1.1291,1,-7.7,-2.25
